date,initiator,subject,people
2015-06-25,John Garbutt,[openstack-dev] [Nova] The unbearable lightness of specs,26
2015-04-24,jaypipes,[openstack-dev] Please stop reviewing code while asking 	questions,25
2015-06-15,Dolph Mathews,[openstack-dev] [api][nova][ironic] Microversion API HTTP header,24
2015-05-12,Marco.Fargetta@ct.infn.it,[openstack-dev] [nova][all] Architecture Diagrams in ascii art?,24
2015-04-24,Dean Troyer,[openstack-dev] [all] Question for the TC candidates,23
2015-06-03,Salvatore Orlando,[openstack-dev] [all][infra][tc][ptl] Scaling up code review  process (subdir cores),19
2015-06-05,hejie.xu@intel.com,[openstack-dev] [api] [Nova] [Ironic] [Magnum] Microversion  guideline in API-WG,17
2015-05-26,ArkadyKanevsky,[openstack-dev] [cinder] Some Changes to Cinder Core,17
2015-04-23,Kyle Mestery,[openstack-dev] [Neutron] A big tent home for Neutron backend 	code,16
2015-04-07,Gordon Chung,[openstack-dev] [all] how to send messages (and events) to our  users,16
