date,initiator,subject,people
2015-02-25,rbtcollins,[openstack-dev] [all] Re-evaluating the suitability of the 6  month release cycle,25
2015-01-30,Dean Troyer,[openstack-dev] [Openstack-operators] [all][log] Openstack HTTP  error codes,23
2015-02-12,Jeremy Stanley,[openstack-dev] [all][tc] Lets keep our community open   lets fight for it,22
2015-01-14,Thierry Carrez,[openstack-dev] [Glance] IRC logging,21
2015-02-05,vishvananda,[openstack-dev] Deprecation of in tree EC2 API in Nova for Kilo 	release,20
2015-02-24,rbtcollins,[openstack-dev] [stable][all] Revisiting the 6 month release 	cycle,18
2015-02-13,rodrigodsousa,[openstack-dev] [Keystone] Proposing Marek Denis for the  Keystone Core Team,17
2015-01-15,Armando Migliaccio,[openstack-dev] [neutron] Changes to the core team,17
2015-02-24,Fei Long Wang,[openstack-dev] [Glance] Core nominations.,16
2015-01-30,Dean Troyer,[OpenStack Foundation] [openstack-dev] Finding people to work  on the EC2 API in Nova,16
